,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MONTHLY_AVG_PURCHASE,MONTHLY_AVG_CASH_ADVANCE,PURCHASE_TO_LIMIT_RATIO,CASH_ADVANCE_TO_LIMIT_RATIO,BALANCE_TO_LIMIT_RATIO,KMeans_Cluster,Hierarchical_Cluster,Cluster,Cluster_Label
0,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.509787,0.0,12,7.95,0.0,0.0953046953046953,0.0,0.04085988911088911,1,0,1,Active Purchasers
1,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,1072.340217,0.222222,12,0.0,536.9121235833334,0.0,0.9202893133838024,0.45742999800028566,3,2,3,High Value Customers
2,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,64.43083333333333,0.0,0.10307558992134382,0.0,0.33264216264498064,0,1,0,Inactive Users
3,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,312.343947,0.0,12,124.91666666666667,17.149001416666668,0.19984002133048928,0.027434744300759897,0.2221931131849087,1,0,1,Active Purchasers
4,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.791237,0.0,12,1.3333333333333333,0.0,0.013322231473771857,0.0,0.680861228143214,1,0,1,Active Purchasers
5,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,111.10666666666667,0.0,0.7402998334258745,0.0,1.0049021382565242,0,0,0,Inactive Users
6,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,590.9175,0.0,0.5252210947337235,0.0,0.046460321902081325,2,1,2,Cash Advance Users
7,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,36.35,0.0,0.18956975228161668,0.0,0.7925479109083008,0,0,0,Inactive Users
8,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,71.79083333333334,0.0,0.12305242108270248,0.0,0.14496878631624052,1,0,1,Active Purchasers
9,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,106.8,0.0,0.11649850013635123,0.0,0.01383746704845014,1,0,1,Active Purchasers
10,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,76.67666666666666,0.0,0.7661282264779351,0.0,1.0767068601165695,0,0,0,Inactive Users
11,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,124.34833333333334,0.0,0.7457171414292854,0.0,0.31523975212393807,1,0,1,Active Purchasers
12,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,268.1658333333333,0.0,1.0723058980339886,0.0,0.5054743818727091,0,0,0,Inactive Users
13,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,251.137986,0.083333,12,178.16083333333333,0.0,0.2850193307558992,0.0,0.12287606572457005,0,0,0,Inactive Users
14,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,0.0,28.900949166666667,0.0,0.11556527490836388,0.9239495948017328,1,0,1,Active Purchasers
15,4942.9272155,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,134.30833333333334,191.79093891666665,0.20143732033495815,0.28765045206849144,0.6177886783527059,3,0,3,High Value Customers
16,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,0.0,348.034337875,0.0,0.9277823068977008,0.6904612975674774,1,2,1,Active Purchasers
17,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,254.590662,73.203221,0.25,12,43.25,0.0,0.2075169932027189,0.0,0.016429223910435827,1,0,1,Active Purchasers
18,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,13000.0,1720.837373,744.613395,0.0,12,42.02916666666667,0.0,0.038793169756172606,0.0,0.15299378724713483,0,0,0,Inactive Users
19,3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.980464,12465.54938,0.0,12,33.22,0.0,0.0996350912271932,0.0,0.8942691659585104,0,0,0,Inactive Users
20,2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0,8,2000.0,223.0686,13557.29726,0.0,12,14.723333333333334,0.0,0.08829585207396302,0.0,1.007838423788106,1,0,1,Active Purchasers
21,4942.9272155,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6,92,11250.0,2077.959051,1659.775075,0.0,12,529.9958333333333,19.085687083333333,0.5652786418984979,0.020356256777175362,0.4393322562883299,2,1,2,Cash Advance Users
22,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.629958,86.329554,0.0,12,67.99166666666666,0.0,0.45302609661299276,0.0,0.07348264297612438,0,0,0,Inactive Users
23,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842,1425.426525,0.0,12,354.0291666666667,664.5346355,0.47198644595045,0.8859477420286634,0.42219213165203867,3,2,3,High Value Customers
24,4942.9272155,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,1657.002877,0.0,11,0.0,72.63180572727273,0.0,0.1331361211464756,0.8236839219296783,1,2,1,Active Purchasers
25,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12,33.300000000000004,0.0,0.13315561479506832,0.0,0.05657503465511496,0,0,0,Inactive Users
26,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.178845,971.183209,0.0,12,8.5,20.40337375,0.059964726631393295,0.14393914462081128,0.9500101352145797,1,0,1,Active Purchasers
27,125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.773715,164.748819,0.0,12,19.44,0.0,0.23304695304695305,0.0,0.12556924775224776,0,0,0,Inactive Users
28,4942.9272155,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,1648.851345,0.0,12,32.25416666666667,186.34543825,0.036858394438624896,0.21294593457765926,0.47071014336729833,3,2,3,High Value Customers
29,22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,159.684442,0.0,12,8.333333333333334,0.0,0.014490653528474133,0.0,0.003197143892189538,1,0,1,Active Purchasers
30,4942.9272155,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323491,3292.01503,0.0,12,253.16750000000002,265.2986084166667,0.2336751019152373,0.2448721868317822,0.3801959245827244,3,2,3,High Value Customers
31,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,6000.0,645.998299,256.848991,0.0,12,112.30916666666667,14.651312916666667,0.22458090318280288,0.0292977428761873,0.19367994067655392,0,0,0,Inactive Users
32,4942.9272155,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,10500.0,1720.118876,2506.745366,0.0,12,27.079166666666666,99.12781274999999,0.030944671936006092,0.11327814046281307,0.47071014336729833,1,2,1,Active Purchasers
33,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,196.301885,0.3,12,53.06583333333333,0.0,0.5302164862614488,0.0,0.10462985262281432,0,1,0,Inactive Users
34,3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,11000.0,8735.607835,17862.55831,0.0,12,45.60666666666666,0.0,0.04974820470866285,0.0,0.3197074462321607,0,0,0,Inactive Users
35,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.569311,0.0,12,0.0,8.272030583333333,0.0,0.05511625041643531,0.9196839428095503,1,0,1,Active Purchasers
36,4942.9272155,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,0.0,806.6704587272726,0.0,0.9858210249972225,0.5491531180424397,3,2,3,High Value Customers
37,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,1541.141605,0.0,12,198.3791666666667,141.47174175,0.4760147970405919,0.3394642873425315,0.809334298740252,0,0,0,Inactive Users
38,4942.9272155,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,17.0,243.80832183333334,0.02266414842795245,0.32504164670592156,0.5491531180424397,3,2,3,High Value Customers
39,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,7500.0,20071.07544,719.948985,0.333333,12,80.27,514.4735730833333,0.1284148780162645,0.8230479772030396,0.18818853886148512,3,2,3,High Value Customers
40,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,283.333445,0.166667,12,0.0,261.08866116666667,0.0,1.7396246163242641,0.36837746252082176,1,0,1,Active Purchasers
41,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000.0,1262.309666,363.142736,0.111111,12,127.21583333333332,182.3683005833333,0.508693768743752,0.7292301256247917,0.2615427397534155,0,0,0,Inactive Users
42,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,16.985,0.0,0.04528327038435903,0.0,0.9119552983781382,1,2,1,Active Purchasers
43,1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.354137,0.0,12,0.0,123.46559108333334,0.0,0.9870666842105263,0.9065572131912059,1,0,1,Active Purchasers
44,4942.9272155,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0,20,8500.0,1430.341501,1318.71492,0.0,12,127.12,0.0,0.17944241853899542,0.0,0.581452442712622,0,1,0,Inactive Users
45,2242.311686,1.0,437.0,97.0,340.0,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400.0,0.0,312.343947,0.0,12,36.416666666666664,15.387391000000001,0.18200749687630155,0.07690491128696376,0.9339074077467722,1,0,1,Active Purchasers
46,474.447149,0.5,109.74,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1,3,1700.0,176.013005,147.199792,0.0,8,13.7175,126.707444,0.06451499118165785,0.5959197836566725,0.2789224861845973,1,0,1,Active Purchasers
